Date,Station,Source,Depth,YSI_Depth,YSI_Temp,YSI_Salinity,YSI_DO,YSI_Turbidity,YSI_Chl,YSI_BP,POC,PN,CtoN,DOC,DIC,NO3/NO2,NH4,DIN,TDN,DON,PO4,SiO2
2000/2/1,20,IMS,1,0.1,3.17,0,12.09,-7777,-7777,-7777,1378.75,151.8,10.59,-7777,1.968480545,769.45125,89.1592,858.61045,1275.982178,417,17.0686655,21.252102
2000/2/1,30,IMS,1,0.1,3.39,0,12.07,-7777,-7777,-7777,1227.8,142.6,10.04,533.6,4.534478178,735.705,112.57085,848.27585,1242.128174,394,18.643944,48.9659595
2000/2/1,30,IMS,2,3,3.31,0.1,11.87,-7777,-7777,-7777,1291.05,143.55,10.49,548,-7777,731.95055,114.2035,846.15405,1236.065063,390,16.0801555,45.472576
2000/2/1,50,IMS,2,3,3.64,0,12.14,-7777,-7777,-7777,1270.55,141.65,10.46,-7777,-7777,785.02975,98.48715,883.5169,1317.469238,434,17.3684255,26.305724
2000/2/1,50,IMS,1,0.1,3.71,0,12.29,-7777,-7777,-7777,1110.45,133.4,9.71,-7777,2.417530131,784.62695,96.808,881.43495,1332.073364,451,18.14415,17.971174
2000/2/1,60,IMS,1,0.1,3.41,0.1,12.31,-7777,-7777,-7777,1344.25,150.9,10.39,-7777,3.187329421,741.4003,93.81475,835.21505,-7777,-2222,23.4325565,46.732546
2000/2/1,60,IMS,2,3,3.57,1.1,9.46,-7777,-7777,-7777,1518.3,164.7,10.75,-7777,-7777,719.27805,90.28415,809.5622,-7777,-2222,22.9795035,45.64505
2000/2/1,70,IMS,1,0.1,3.47,0.3,12.14,-7777,-7777,-7777,1315.85,147.2,10.43,671.4,4.726928,643.5638,89.1049,732.6687,1056.365112,324,24.249365,42.207741
2000/2/1,70,IMS,2,2.5,3.36,0.3,12.11,-7777,-7777,-7777,1691.8,187.65,10.52,690.3,-7777,620.4005,83.3617,703.7622,1049.620239,346,25.08305,46.3796655
2000/2/1,95,IMS,1,0.1,3.71,0.9,12.58,-7777,-7777,-7777,1409.75,190.45,8.63,-7777,-7777,538.74755,49.474886,588.222436,-7777,-2222,19.817522,58.0321865
2000/2/1,95,IMS,2,2.5,3.71,2.1,11.99,-7777,-7777,-7777,1613.55,218.05,8.64,-7777,-7777,463.7938,47.79673,511.59053,-7777,-2222,19.5691075,58.78006
2000/2/1,96,IMS,2,2,3.44,1.4,12.85,-7777,-7777,-7777,1198.8,179.4,7.8,-7777,-7777,451.6846465,21.460966,473.1456125,-7777,-2222,19.7605495,55.925825
2000/2/1,96,IMS,1,0.1,3.47,1.4,13.15,-7777,-7777,-7777,1243.2,186.75,7.76,-7777,-7777,440.3912045,20.8011265,461.192331,-7777,-2222,18.9555035,59.081249
2000/2/1,100,IMS,2,3.5,3.32,1.8,12.52,-7777,-7777,-7777,1683.95,227.25,8.64,598.3,-7777,500.951691,44.746082,545.697773,901.193604,355,18.53474,61.2289775
2000/2/1,100,IMS,1,0.1,3.27,1.1,12.77,-7777,-7777,-7777,1608.95,207.9,9.03,594.4,6.779726107,518.2089845,45.342253,563.5512375,843.986938,280,18.7673,57.402792
2000/2/1,120,IMS,1,0.2,3.22,2,12.97,-7777,-7777,-7777,1451.8,212.55,7.97,581,5.945776876,396.723007,21.3188735,418.0418805,733.761414,316,15.590145,53.352396
2000/2/1,120,IMS,2,4.5,3.42,2.6,12.46,-7777,-7777,-7777,1677.45,249.3,7.85,591,-7777,314.870972,14.4978635,329.3688355,601.830933,272,14.5168075,50.4582
2000/2/1,140,IMS,2,4.1,3.18,3.7,12.61,-7777,-7777,-7777,2989,401.1,8.69,-7777,-7777,200.371521,13.2455055,213.6170265,546.759949,333,12.2521985,49.8875635
2000/2/1,140,IMS,1,0.1,3.39,3.1,13.04,-7777,-7777,-7777,1480.85,246.55,7,-7777,7.613675338,288.166962,4.723825,292.890787,559.142944,266,11.3545515,55.759647
2000/2/1,160,IMS,2,6.5,3.54,9,11.41,-7777,-7777,-7777,2324.95,409.35,6.63,601.1,-7777,37.783497,7.495429,45.278926,323.267883,278,16.013704,45.567341
2000/2/1,160,IMS,1,0.2,3.46,5.4,12.87,-7777,-7777,-7777,2354.25,434.2,6.33,591.1,9.024974036,54.6366765,6.714278,61.3509545,303.993042,243,12.6757925,45.4917415
2000/2/1,165,IMS,1,0.1,3.48,6.2,12.82,-7777,-7777,-7777,1931.45,358.75,6.28,-7777,-7777,8.4816245,6.963145,15.4447695,-7777,-2222,10.87,49.5495185
2000/2/1,165,IMS,2,3.4,3.45,6.2,12.45,-7777,-7777,-7777,2739.65,447.1,7.15,-7777,-7777,14.1140825,10.0566325,24.170715,-7777,-2222,12.2792015,45.8062345
2000/2/9,0,IMS,2,3.5,6.01,0,11.04,-7777,-7777,-7777,1093.15,144.25,8.9,511.4,-7777,748.195282,20.939375,769.134657,1162.595215,393,11.51749,33.870781
2000/2/9,0,IMS,1,0.1,6.01,0,11.23,-7777,-7777,-7777,916.6,130.55,8.19,558.4,2.07915821,740.6141055,22.84451,763.4586155,1155.559937,392,12.59642,21.707505
2000/2/9,10,IMS,1,0.1,6.03,0,11.35,-7777,-7777,-7777,943.2,135.1,8.15,-7777,1.511697468,753.96445,50.4196,804.38405,-7777,-2222,12.648141,2.9350115
2000/2/9,10,IMS,2,2.9,6.01,0,11.02,-7777,-7777,-7777,1012.85,137.8,8.59,-7777,-7777,739.6527,52.2657,791.9184,-7777,-2222,13.9805645,21.2388575
2000/2/9,20,IMS,2,3.5,6.06,0,10.98,-7777,-7777,-7777,1366.2,160.65,9.95,-7777,-7777,754.1315,54.38025,808.51175,1202.913818,394,12.628673,30.947482
2000/2/9,20,IMS,1,0.1,6.08,0,11.21,-7777,-7777,-7777,957.75,129.6,8.66,-7777,2.575686358,759.25615,53.25495,812.5111,1179.927002,367,12.721479,20.3522835
2000/2/9,30,IMS,2,3.5,6.21,0.1,11.17,-7777,-7777,-7777,1021.9,135.1,8.85,517.3,-7777,774.9221,74.50375,849.42585,1258.237915,409,14.0887815,35.2921295
2000/2/9,30,IMS,1,0.1,6.26,0,11.33,-7777,-7777,-7777,827.85,121.4,7.98,524.8,2.150090802,771.68445,67.48875,839.1732,1238.942139,400,13.6991125,27.101531
2000/2/9,50,IMS,2,4,5.78,4.2,7.92,-7777,-7777,-7777,1016.05,144.2,8.3,-7777,-7777,762.017,53.90465,815.92165,1210.507935,395,15.005147,37.238596
2000/2/9,50,IMS,1,0.1,6.4,0,11.54,-7777,-7777,-7777,834.05,125.05,7.81,-7777,1.724495246,766.5507,68.26975,834.82045,1266.625854,432,13.7346395,11.6567105
2000/2/9,60,IMS,2,3.1,6.36,0.2,11.24,-7777,-7777,-7777,864.15,127.8,7.92,-7777,-7777,803.0935,60.99585,864.08935,-7777,-2222,12.782884,28.975163
2000/2/9,60,IMS,1,0.1,6.43,0,11.84,-7777,-7777,-7777,848.3,116.85,8.49,-7777,2.07915821,823.13345,63.22135,886.3548,-7777,-2222,13.449027,26.401982
2000/2/9,70,IMS,1,0.1,6.39,0.2,11.68,-7777,-7777,-7777,943.85,126.9,8.7,630.3,2.150090802,633.56025,145.62085,779.1811,1273.184326,494,15.8622555,25.9473725
2000/2/9,70,IMS,2,3,6.33,0.3,11.41,-7777,-7777,-7777,2541.3,284.75,10.41,631.7,-7777,818.81615,63.09795,881.9141,1098.836304,217,21.671152,61.218124
2000/2/9,95,IMS,2,3,6.36,3.6,11.54,-7777,-7777,-7777,1721.85,247.35,8.13,-7777,-7777,776.1565,88.69315,864.84965,-7777,-2222,10.3489265,52.7492825
2000/2/9,95,IMS,1,0.1,6.31,1.2,12.28,-7777,-7777,-7777,1213.3,172.5,8.22,-7777,-7777,436.37255,56.62335,492.9959,-7777,-2222,16.52308,54.512495
2000/2/9,96,IMS,1,0.2,6.53,0.3,11.89,-7777,-7777,-7777,1406,186.2,8.85,-7777,-7777,772.5975,80.04095,852.63845,-7777,-2222,16.893691,32.0077235
2000/2/9,96,IMS,2,1.5,6.51,0.3,11.75,-7777,-7777,-7777,1319.25,167,9.29,-7777,-7777,792.9512,76.8297,869.7809,-7777,-2222,16.2063395,35.408682
2000/2/9,100,IMS,2,3.5,6.2,4.5,10.57,-7777,-7777,-7777,3561.25,387,10.73,629,-7777,642.8806,78.99475,721.87535,889.032471,167,17.097168,49.1387445
2000/2/9,100,IMS,1,0.2,6.38,0.8,12.15,-7777,-7777,-7777,1122.65,163.35,8.02,638.9,3.214079692,520.605,72.81285,593.41785,1115.31604,522,15.512034,48.439859
2000/2/9,120,IMS,2,5,5.02,7.9,9.48,-7777,-7777,-7777,5397.75,594.2,10.59,634.2,-7777,699.6432,51.1605145,750.8037145,482.147888,-4444,15.605999,48.0722255
2000/2/9,120,IMS,1,0.1,6.69,1.4,12.64,-7777,-7777,-7777,1478.25,273.8,6.3,632.7,4.632731546,577.2261,31.6010725,608.8271725,946.990479,338,19.4880295,51.743681
2000/2/9,140,IMS,2,4.6,4.73,8.5,10.6,-7777,-7777,-7777,2031.15,315.85,7.5,-7777,-7777,91.202255,22.5370425,113.7392975,393.52832,280,16.8537315,40.6019745
2000/2/9,140,IMS,1,0.1,6.25,2.8,12.76,-7777,-7777,-7777,1768.8,355.05,5.81,-7777,5.767653029,452.570587,9.502533,462.07312,757.733276,296,15.157414,52.115496
2000/2/9,160,IMS,2,6.5,4.6,9.7,10.13,-7777,-7777,-7777,2095.3,327.7,7.46,610.2,-7777,-9999,11.002245,11.002245,280.458374,269,19.336854,38.046059
2000/2/9,160,IMS,1,0.2,5.87,5.2,13.76,-7777,-7777,-7777,1719.9,328.6,6.1,621.3,7.470035253,169.3037185,9.7660795,179.069798,460.444641,281,10.2854415,51.2015345
2000/2/9,165,IMS,1,0.1,6.49,4.4,13.88,-7777,-7777,-7777,2398.8,518.45,5.4,-7777,-7777,168.4177,10.037868,178.455568,-7777,-2222,10.168872,47.912945
2000/2/9,165,IMS,2,4.2,4.77,11.5,10.66,-7777,-7777,-7777,1254.8,233.65,6.27,-7777,-7777,182.2939,12.541456,194.835356,-7777,-2222,9.935459,47.4340115
2000/2/29,0,IMS,1,0.1,13.41,0,9.05,-7777,-7777,-7777,863.6,132.9,7.58,440,3.413994778,364.3091735,7.669234,371.9784075,714.588379,343,10.0144545,28.641857
2000/2/29,0,IMS,2,5,13.37,0,8.95,-7777,-7777,-7777,909.7,138.45,7.66,460.6,-7777,367.382568,9.024982,376.40755,728.265259,352,10.022469,27.317886
2000/2/29,10,IMS,1,0,13.57,0,9.01,-7777,-7777,-7777,779.15,123.75,7.35,-7777,3.358516971,364.822357,23.8533,388.675657,-7777,-2222,10.058065,26.413249
2000/2/29,10,IMS,2,3.6,13.54,0,8.82,-7777,-7777,-7777,1077.95,157.7,7.97,-7777,-7777,361.703812,26.839891,388.543703,-7777,-2222,10.602726,34.2656685
2000/2/29,20,IMS,1,0.2,13.97,0,8.98,-7777,-7777,-7777,787.6,131.1,7.01,-7777,3.358516971,374.880417,23.8791255,398.7595425,765.380981,367,11.1528345,26.3556995
2000/2/29,20,IMS,2,3,13.79,0,8.81,-7777,-7777,-7777,924.65,151.25,7.13,-7777,-7777,373.7272035,24.66275,398.3899535,775.688232,377,10.430852,23.113838
2000/2/29,30,IMS,2,3.5,13.65,0.1,9.11,-7777,-7777,-7777,1012.35,164.1,7.19,506.4,-7777,394.2480925,103.228771,497.4768635,876.759155,379,13.9545495,37.308258
2000/2/29,30,IMS,1,0.1,14.6,0.1,9.46,-7777,-7777,-7777,894.1,150.3,6.94,518.8,4.190684073,380.990784,28.2321245,409.2229085,758.816528,350,10.7146145,33.6930945
2000/2/29,50,IMS,2,3,13.84,0,9.47,-7777,-7777,-7777,1077.3,181.5,6.92,-7777,-7777,383.989258,7.9273545,391.9166125,741.238403,349,8.277534,27.8367645
2000/2/29,50,IMS,1,0.1,14.47,0.1,9.91,-7777,-7777,-7777,1261.75,209.85,7.01,-7777,3.136605744,370.0056305,6.465955,376.4715855,712.204224,336,6.7355935,25.3875685
2000/2/29,60,IMS,2,3,13.8,0.1,9.97,-7777,-7777,-7777,1261.1,193.4,7.6,-7777,-7777,401.272766,36.8001805,438.0729465,-7777,-2222,8.8643485,35.0632475
2000/2/29,60,IMS,1,0.1,14.58,0.1,10.3,-7777,-7777,-7777,1502.75,240.15,7.3,-7777,3.303039164,411.4978945,7.4572135,418.955108,-7777,-2222,16.043371,26.9628155
2000/2/29,70,IMS,2,3,12.48,3.3,4.1,-7777,-7777,-7777,2845.1,330,10.05,539.2,-7777,416.580154,12.6394745,429.2196285,791.047607,362,9.494461,34.156849
2000/2/29,70,IMS,1,0.1,14.52,0.1,10.38,-7777,-7777,-7777,1369.6,228.2,7,551.6,3.303039164,403.471878,7.711466,411.183344,765.492676,354,9.343091,24.026069
2000/2/29,95,IMS,1,0.1,13.26,0.7,9.88,-7777,-7777,-7777,1407.6,253.9,6.47,-7777,-7777,435.417038,23.7315445,459.1485825,-7777,-2222,6.717275,44.4598945
2000/2/29,95,IMS,2,2.1,13.16,3.2,9.3,-7777,-7777,-7777,1732.7,291.5,6.93,-7777,-7777,216.8081895,53.270424,270.0786135,-7777,-2222,5.329966,52.880602
2000/2/29,96,IMS,1,0.1,13.65,0.5,10.57,-7777,-7777,-7777,1207.85,216.3,6.51,-7777,-7777,487.812683,10.892515,498.705198,-7777,-2222,7.2295665,34.846962
2000/2/29,96,IMS,2,1.5,13.26,0.5,10.48,-7777,-7777,-7777,1268.6,222.75,6.64,-7777,-7777,483.3005065,13.907071,497.2075775,-7777,-2222,7.7869605,46.535591
2000/2/29,100,IMS,1,0.1,13.5,0.7,10.51,-7777,-7777,-7777,1315.05,230.05,6.67,536.9,3.635906005,452.4339445,12.156606,464.5905505,818.810303,354,6.1475305,40.7955515
2000/2/29,100,IMS,2,3.5,10.51,6.5,7.66,-7777,-7777,-7777,3707.05,486.75,8.88,559.1,-7777,170.388512,80.3110275,250.6995395,572.306274,322,-9999,-7777
2000/2/29,120,IMS,2,5.1,10.37,7.8,6.48,-7777,-7777,-7777,3109.15,609.55,5.95,571.8,-7777,96.493347,71.106243,167.59959,474.839813,307,-9999,42.395508
2000/2/29,120,IMS,1,0.2,13.29,1.7,10.22,-7777,-7777,-7777,1789.85,337.3,6.19,541.8,4.523550914,403.3195195,40.1142215,443.433741,786.103882,343,4.635253,45.0157015
2000/2/29,140,IMS,1,0.1,13.78,2,10.77,-7777,-7777,-7777,1686.25,292.35,6.73,-7777,4.468073107,399.123947,23.723176,422.847123,745.179932,322,8.1103785,57.8379175
2000/2/29,140,IMS,2,5,10.13,9.2,6.29,-7777,-7777,-7777,3054.6,458.3,7.77,-7777,-7777,-9999,37.228821,37.228821,371.478668,334,-9999,49.296871
2000/2/29,160,IMS,1,0.6,13.09,3.9,10.8,-7777,-7777,-7777,2029.55,350.15,6.76,555.6,6.021451697,289.4532775,17.26941,306.7226875,605.727417,299,8.4475695,61.093895
2000/2/29,160,IMS,2,6.2,10.13,9.6,7.95,-7777,-7777,-7777,3451.15,524.3,7.68,561.5,-7777,-9999,11.410273,11.410273,324.721954,313,-9999,46.0041315
2000/2/29,165,IMS,1,0.1,12.99,0.4,10.83,-7777,-7777,-7777,1824.95,312.55,6.81,-7777,-7777,226.868469,11.386307,238.254776,-7777,-2222,6.138683,48.792692
2000/2/29,165,IMS,2,4.4,10.73,8.9,4.81,-7777,-7777,-7777,3119.85,524.3,6.94,-7777,-7777,-9999,12.591477,12.591477,-7777,-2222,-9999,45.4960345
2000/3/14,0,IMS,2,5,15.39,0.1,7.51,-7777,-7777,-7777,424.4,48.65,10.17,476.1,-7777,677.0987545,95.5559195,772.654674,1180.042358,407,21.2939635,65.4192275
2000/3/14,0,IMS,1,0,15.9,0.1,7.7,-7777,-7777,-7777,352.3,45,9.13,479,5.794853418,675.0084535,96.5495835,771.558037,1175.88208,404,22.0720795,55.0835305
2000/3/14,10,IMS,2,3.5,15.69,0.1,7.35,-7777,-7777,-7777,665.3,80.75,9.63,-7777,-7777,672.844818,129.0753175,801.9201355,-7777,-2222,22.0490435,59.2185325
2000/3/14,10,IMS,1,0.6,15.87,0.1,7.45,-7777,-7777,-7777,379.25,54.15,8.17,-7777,5.885498788,665.815338,131.811005,797.626343,-7777,-2222,24.570326,74.354046
2000/3/14,20,IMS,1,0,16.32,0.1,7.59,-7777,-7777,-7777,405.55,58.75,8.05,-7777,5.29630388,664.700836,136.9849475,801.6857835,1221.45752,420,25.674011,54.61528
2000/3/14,20,IMS,2,3,15.79,0.1,7.33,-7777,-7777,-7777,419.2,61.5,7.95,-7777,-7777,663.559967,140.30407,803.864037,1222.441162,419,25.5205255,74.674488
2000/3/14,30,IMS,2,3,14.4,0.1,9.01,-7777,-7777,-7777,1573.5,166.1,11.05,555.2,-7777,620.25769,129.984848,750.242538,1150.256348,400,25.3219375,68.588425
2000/3/14,30,IMS,1,0.5,14.67,0.1,9.33,-7777,-7777,-7777,800.4,112,8.33,546.9,5.658885362,638.3566895,105.9487685,744.305458,1107.879272,364,21.3757015,60.390072
2000/3/14,50,IMS,2,3,14.85,1.8,8.49,-7777,-7777,-7777,1531.25,219.35,8.14,-7777,-7777,379.819046,42.4198435,422.2388895,736.063965,314,11.2736735,40.0337715
2000/3/14,50,IMS,1,0,14.97,0.7,9.81,-7777,-7777,-7777,1105.6,173.45,7.43,-7777,5.613562677,470.7737425,11.4956665,482.269409,794.833496,313,18.090215,53.956726
2000/3/14,60,IMS,2,3,14.05,2.8,9.48,-7777,-7777,-7777,2466.4,361.6,7.95,-7777,-7777,215.480705,11.342464,226.823169,-7777,-2222,5.8560315,46.494024
2000/3/14,60,IMS,1,0.1,14.23,2.4,9.95,-7777,-7777,-7777,1961.45,330.4,6.92,-7777,6.610661752,268.9217685,9.361029,278.2827975,-7777,-2222,4.678274,35.407339
2000/3/14,70,IMS,2,2.5,13.82,3.7,9.24,-7777,-7777,-7777,1944.25,319.4,7.1,622.1,-7777,199.1116945,15.1019525,214.213647,515.86554,302,-9999,43.011375
2000/3/14,70,IMS,1,0.6,14.4,2.5,10.04,-7777,-7777,-7777,1961.5,329.5,6.94,586.3,5.794853418,221.748566,10.896137,232.644703,525.804932,293,5.7051125,42.300222
2000/3/14,95,IMS,2,3,14.68,5.8,6.41,-7777,-7777,-7777,3193.4,518.55,7.18,-7777,-7777,32.5022315,31.117275,63.6195065,-7777,-2222,-9999,37.9337385
2000/3/14,95,IMS,1,0,14.07,4,9.77,-7777,-7777,-7777,2953.75,541.5,6.36,-7777,-7777,83.5830005,8.0598925,91.642893,-7777,-2222,9.070986,37.0073985
2000/3/14,96,IMS,2,3.1,13.34,5.1,9.71,-7777,-7777,-7777,2426.15,444.2,6.37,-7777,-7777,78.0230215,15.8905525,93.913574,-7777,-2222,-9999,35.534477
2000/3/14,96,IMS,1,0.5,13.39,5,9.72,-7777,-7777,-7777,2328.4,424.05,6.4,-7777,-7777,94.189617,13.3366645,107.5262815,-7777,-2222,9.8427545,37.7139685
2000/3/14,100,IMS,2,4,13.69,5.4,8.7,-7777,-7777,-7777,1962.45,357,6.41,626.9,-7777,86.8476715,28.286068,115.1337395,401.020386,286,-9999,32.8017445
2000/3/14,100,IMS,1,0.1,14.05,4.5,9.64,-7777,-7777,-7777,2154.05,387.3,6.49,595.7,7.290502031,111.6669995,15.530082,127.1970815,400.852173,274,16.969493,50.5318415
2000/3/14,120,IMS,2,4.5,13.8,6.3,9.15,-7777,-7777,-7777,3203.8,501.1,7.46,512.9,-7777,1.5772765,11.9119655,13.489242,283.618469,270,-9999,32.9113885
2000/3/14,120,IMS,1,0,13.79,6,10.37,-7777,-7777,-7777,3591.5,631.4,6.63,512.9,8.15163305,-9999,6.900201,6.900201,262.403137,256,25.924329,37.189854
2000/3/14,140,IMS,2,4.9,13.84,7.3,9.95,-7777,-7777,-7777,2246.55,362.5,7.23,-7777,-7777,-9999,8.3146125,8.3146125,263.79187,255,-9999,46.36735
2000/3/14,140,IMS,1,0.1,14.18,7.1,10.54,-7777,-7777,-7777,2594.65,388.2,7.79,-7777,8.559537217,-9999,8.2102035,8.2102035,239.968735,232,14.9684465,32.385355
2000/3/14,160,IMS,1,0.2,13.93,8,10.84,-7777,-7777,-7777,2540.1,379,7.82,494.8,8.695505273,-9999,8.1399225,8.1399225,250.436325,242,79.6539305,30.3549595
2000/3/14,160,IMS,2,6.5,15.35,17.6,3.02,-7777,-7777,-7777,6204,1053.6,6.87,412.3,-7777,-9999,8.394929,8.394929,200.890884,192,-9999,27.5036995
2000/3/14,165,IMS,1,0.6,13.22,6.9,10.19,-7777,-7777,-7777,2691.45,374.45,8.38,-7777,-7777,-9999,7.5194965,7.5194965,-7777,-2222,13.358679,29.711341
2000/3/14,165,IMS,2,4.4,13.4,7.4,9.5,-7777,-7777,-7777,4224.65,592.85,8.31,-7777,-7777,-9999,7.8839195,7.8839195,-7777,-2222,-9999,38.901674
2000/3/27,0,IMS,1,0.1,15.89,0,8.06,-7777,-7777,-7777,514.85,87.85,6.98,513.2,3.437991531,604.7672425,55.3063675,660.07361,1067.767822,408,20.0699235,33.590054
2000/3/27,0,IMS,2,4.7,15.77,0,7.7,-7777,-7777,-7777,953.85,120.8,9.21,583.1,-7777,612.530945,54.650608,667.181553,1084.122925,417,18.5654525,37.7319925
